year,Season_type,PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
2012-13,Regular%20Season,201142,1,Kevin Durant,1610612760,OKC,81,3119,731,1433,0.51,139,334,0.416,679,750,0.905,46,594,640,374,116,105,280,143,2280,2462,1.34,0.41
2012-13,Regular%20Season,977,2,Kobe Bryant,1610612747,LAL,78,3013,738,1595,0.463,132,407,0.324,525,626,0.839,66,367,433,469,106,25,287,173,2133,1921,1.63,0.37
2012-13,Regular%20Season,2544,3,LeBron James,1610612748,MIA,76,2877,765,1354,0.565,103,254,0.406,403,535,0.753,97,513,610,551,129,67,226,110,2036,2446,2.44,0.57
2012-13,Regular%20Season,201935,4,James Harden,1610612745,HOU,78,2985,585,1337,0.438,179,486,0.368,674,792,0.851,62,317,379,455,142,38,295,178,2023,1872,1.54,0.48
2012-13,Regular%20Season,2546,5,Carmelo Anthony,1610612752,NYK,67,2482,669,1489,0.449,157,414,0.379,425,512,0.83,134,326,460,171,52,32,175,205,1920,1553,0.98,0.3
2012-13,Regular%20Season,201566,6,Russell Westbrook,1610612760,OKC,82,2861,673,1535,0.438,97,300,0.323,460,575,0.8,111,317,428,607,145,24,273,189,1903,1857,2.22,0.53
2012-13,Regular%20Season,201939,7,Stephen Curry,1610612744,GSW,78,2983,626,1388,0.451,272,600,0.453,262,291,0.9,59,255,314,539,126,12,240,198,1786,1746,2.25,0.53
2012-13,Regular%20Season,101145,8,Monta Ellis,1610612749,MIL,82,3076,597,1436,0.416,94,328,0.287,289,374,0.773,45,271,316,496,169,36,254,164,1577,1416,1.95,0.67
2012-13,Regular%20Season,203081,9,Damian Lillard,1610612757,POR,82,3167,553,1288,0.429,185,503,0.368,271,321,0.844,42,215,257,531,74,19,243,172,1562,1415,2.19,0.3
2012-13,Regular%20Season,200746,10,LaMarcus Aldridge,1610612757,POR,74,2790,638,1318,0.484,2,14,0.143,282,348,0.81,175,495,670,192,62,91,143,187,1560,1686,1.34,0.43
2012-13,Regular%20Season,201942,11,DeMar DeRozan,1610612761,TOR,82,3013,548,1231,0.445,34,120,0.283,355,427,0.831,48,272,320,204,76,24,151,173,1485,1203,1.35,0.5
2012-13,Regular%20Season,101114,12,Deron Williams,1610612751,BKN,78,2842,495,1124,0.44,169,447,0.378,317,369,0.859,29,203,232,604,75,30,218,194,1476,1518,2.77,0.34
2012-13,Regular%20Season,2548,13,Dwyane Wade,1610612748,MIA,69,2391,569,1093,0.521,17,66,0.258,308,425,0.725,86,258,344,352,128,56,194,140,1463,1508,1.81,0.66
2012-13,Regular%20Season,101135,14,David Lee,1610612744,GSW,79,2907,602,1160,0.519,0,4,0.0,255,320,0.797,218,668,886,279,67,22,207,246,1459,1883,1.35,0.32
2012-13,Regular%20Season,202689,15,Kemba Walker,1610612766,CHA,82,2859,526,1244,0.423,107,332,0.322,296,371,0.798,60,223,283,471,160,31,200,153,1455,1407,2.35,0.8
2012-13,Regular%20Season,2747,16,JR Smith,1610612752,NYK,80,2678,527,1249,0.422,155,436,0.356,237,311,0.762,64,361,425,218,100,24,134,226,1446,1283,1.63,0.75
2012-13,Regular%20Season,201933,17,Blake Griffin,1610612746,LAC,80,2598,577,1072,0.538,5,28,0.179,281,426,0.66,186,476,662,299,97,50,185,231,1440,1723,1.62,0.52
2012-13,Regular%20Season,201572,18,Brook Lopez,1610612751,BKN,74,2253,570,1094,0.521,0,1,0.0,297,392,0.758,208,304,512,70,33,154,131,152,1437,1456,0.53,0.25
2012-13,Regular%20Season,1718,19,Paul Pierce,1610612738,BOS,77,2575,476,1092,0.436,145,382,0.38,333,423,0.787,45,442,487,370,84,30,214,210,1430,1481,1.73,0.39
2012-13,Regular%20Season,201943,20,Brandon Jennings,1610612749,MIL,80,2897,497,1247,0.399,173,461,0.375,230,281,0.819,59,187,246,521,125,10,203,155,1397,1295,2.57,0.62
